atis
{'loss': 0.24578670784831047, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9525648097076669, 'slot_recall': 0.9626532887402452, 'slot_f1': 0.9575824785140006, 'sementic_frame_acc': 0.9}
{'loss': 0.26939238370819524, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9445968184311574, 'slot_recall': 0.959866220735786, 'slot_f1': 0.9521703068841583, 'sementic_frame_acc': 0.89}
{'loss': 0.211651279845021, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9508830022075055, 'slot_recall': 0.9604236343366778, 'slot_f1': 0.9556295063782584, 'sementic_frame_acc': 0.89}
{'loss': 0.21368925341150977, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9451453647833242, 'slot_recall': 0.9604236343366778, 'slot_f1': 0.952723251313243, 'sementic_frame_acc': 0.8928571428571429}
{'loss': 0.25042080506682396, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9521452145214522, 'slot_recall': 0.9648829431438127, 'slot_f1': 0.9584717607973422, 'sementic_frame_acc': 0.9}
{'loss': 0.1999757079915567, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9483800109829764, 'slot_recall': 0.9626532887402452, 'slot_f1': 0.955463347164592, 'sementic_frame_acc': 0.8971428571428571}
{'loss': 0.2067611115899953, 'intent_acc': 0.9914285714285714, 'slot_precision': 0.9488730071467839, 'slot_recall': 0.9620958751393534, 'slot_f1': 0.9554386936064212, 'sementic_frame_acc': 0.8942857142857142}
{'loss': 0.20987758209759538, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9483516483516483, 'slot_recall': 0.9620958751393534, 'slot_f1': 0.9551743220807969, 'sementic_frame_acc': 0.8928571428571429}
{'loss': 0.2483134503391656, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.948237885462555, 'slot_recall': 0.959866220735786, 'slot_f1': 0.954016620498615, 'sementic_frame_acc': 0.8871428571428571}
{'loss': 0.24761305478486148, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9574820541137493, 'slot_recall': 0.9665551839464883, 'slot_f1': 0.961997226074896, 'sementic_frame_acc': 0.9028571428571428}
{'loss': 0.2541626471687447, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9508830022075055, 'slot_recall': 0.9604236343366778, 'slot_f1': 0.9556295063782584, 'sementic_frame_acc': 0.89}
